text,author
"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.",George Bernard Shaw
"If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.",Monsters Under Your Head
"Of all sad words of tongue or pen, the saddest are these, 'It might have been.",Maud Muller - Pamphlet
"Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.",Stephen King
"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.",Atlas Shrugged
The flower that blooms in adversity is the rarest and most beautiful of all.,Mulan
"The best index to a person's character is how he treats people who can't do him any good, and how he treats people who can't fight back.",Abigail Van Buren
The most important thing is to enjoy your life—to be happy—it's all that matters.,Audrey Hepburn
"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson
"People aren't either wicked or noble. They're like chef's salads, with good things and bad things chopped and mixed together in a vinaigrette of confusion and conflict.",The Grim Grotto
"My experience of life is that it is not divided up into genres; it’s a horrifying, romantic, tragic, comical, science-fiction cowboy detective novel. You know, with a bit of pornography if you're lucky.",Alan Moore
I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,maya angelou
"I don't know the question, but sex is definitely the answer.",Woody Allen
Nobody realizes that some people expend tremendous energy merely to be normal.,Albert Camus
Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.,Arthur C. Clarke
"Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time! But He loves you. He loves you, and He needs money! He always needs money! He's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money!",George Carlin
Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,The Light in the Heart
Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.,Shampoo Planet
"It is said that your life flashes before your eyes just before you die. That is true, it's called Life.",The Last Continent
"People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but that’s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if they’re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But they’re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. It’s all in how you carry it. That’s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, you’re letting society destroy your reality. You should stand up for your right to feel your pain.",Jim Morrison
"It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...",The Kite Runner
"Life is pain, highness. Anyone who says differently is selling something.",William Goldman: Four Screenplays
It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,How to Win Friends and Influence People
"It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.",The Portable Henry Rollins
"If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.",Kahlil Gibran
Life's under no obligation to give us what we expect.,Margaret Mitchell
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,The Light in the Heart
Unbeing dead isn't being alive.,E. E. Cummings
"Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world.",Tao Te Ching
"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",Albert Schweitzer
How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.,Shel Silverstein
"Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ",Norwegian Wood
"Instead of worrying about what you cannot control, shift your energy to what you can create.",The Light in the Heart
"Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!","The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967"
Some people have lives; some people have music.,"Will Grayson, Will Grayson"
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.",Unapologetically You: Reflections on Life and the Human Experience
"Tell the truth, or someone will tell it for you.",Straight Up and Dirty
Life is for the living.Death is for the dead.Let life be like music. And death a note unsaid.,The Collected Poems
"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",Kalu Ndukwe Kalu
"People aren't born good or bad. Maybe they're born with tendencies either way, but its the way you live your life that matters.",City of Glass
"Dare to BeWhen a new day begins, dare to smile gratefully.When there is darkness, dare to be the first to shine a light.When there is injustice, dare to be the first to condemn it.When something seems difficult, dare to do it anyway.When life seems to beat you down, dare to fight back.When there seems to be no hope, dare to find some.When you’re feeling tired, dare to keep going.When times are tough, dare to be tougher.When love hurts you, dare to love again.When someone is hurting, dare to help them heal.When another is lost, dare to help them find the way.When a friend falls, dare to be the first to extend a hand.When you cross paths with another, dare to make them smile.When you feel great, dare to help someone else feel great too.When the day has ended, dare to feel as you’ve done your best.Dare to be the best you can –At all times, Dare to be!","Life, the Truth, and Being Free"
"If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember.",Lords and Ladies
"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett
"A woman has to live her life, or live to repent not having lived it.",Lady Chatterley's Lover
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.",The Light in the Heart
"Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts. One of them was a Slytherin and he was probably the bravest man I ever knew.",Harry Potter and the Deathly Hallows
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.",The Light in the Heart
"The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.",G.K. Chesterton
The most wasted of all days is one without laughter.,Nicolas Chamfort
Do I not destroy my enemies when I make them my friends?,Abraham Lincoln
"The more I see, the less I know for sure.",John Lennon
"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",C. JoyBell C.
"If I can stop one heart from breaking, I shall not live in vain.",Emily Dickinson
"Take responsibility of your own happiness, never put it in other people’s hands.",The Light in the Heart
"Life is to be enjoyed, not endured",Gordon B. Hinckley
Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.,Extremely Loud & Incredibly Close
I go to seek a Great Perhaps.,François Rabelais
Live to the point of tears.,Albert Camus
Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,The Light in the Heart
Be mindful. Be grateful. Be positive. Be true. Be kind.,The Light in the Heart
"Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.",H. Jackson Brown Jr.
"I am not sure that I exist, actually. I am all the writers that I have read, all the people that I have met, all the women that I have loved; all the cities I have visited.",Jorge Luis Borges
"Do what is right, not what is easy nor what is popular.",The Light in the Heart
This is your life and its ending one moment at a time.,Fight Club
"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.",The Light in the Heart
He who has a why to live for can bear almost any how.,Friedrich Nietzsche
"For me, trees have always been the most penetrating preachers. I revere them when they live in tribes and families, in forests and groves. And even more I revere them when they stand alone. They are like lonely persons. Not like hermits who have stolen away out of some weakness, but like great, solitary men, like Beethoven and Nietzsche. In their highest boughs the world rustles, their roots rest in infinity; but they do not lose themselves there, they struggle with all the force of their lives for one thing only: to fulfil themselves according to their own laws, to build up their own form, to represent themselves. Nothing is holier, nothing is more exemplary than a beautiful, strong tree. When a tree is cut down and reveals its naked death-wound to the sun, one can read its whole history in the luminous, inscribed disk of its trunk: in the rings of its years, its scars, all the struggle, all the suffering, all the sickness, all the happiness and prosperity stand truly written, the narrow years and the luxurious years, the attacks withstood, the storms endured. And every young farmboy knows that the hardest and noblest wood has the narrowest rings, that high on the mountains and in continuing danger the most indestructible, the strongest, the ideal trees grow. Trees are sanctuaries. Whoever knows how to speak to them, whoever knows how to listen to them, can learn the truth. They do not preach learning and precepts, they preach, undeterred by particulars, the ancient law of life. A tree says: A kernel is hidden in me, a spark, a thought, I am life from eternal life. The attempt and the risk that the eternal mother took with me is unique, unique the form and veins of my skin, unique the smallest play of leaves in my branches and the smallest scar on my bark. I was made to form and reveal the eternal in my smallest special detail. A tree says: My strength is trust. I know nothing about my fathers, I know nothing about the thousand children that every year spring out of me. I live out the secret of my seed to the very end, and I care for nothing else. I trust that God is in me. I trust that my labor is holy. Out of this trust I live. When we are stricken and cannot bear our lives any longer, then a tree has something to say to us: Be still! Be still! Look at me! Life is not easy, life is not difficult. Those are childish thoughts. Let God speak within you, and your thoughts will grow silent. You are anxious because your path leads away from mother and home. But every step and every day lead you back again to the mother. Home is neither here nor there. Home is within you, or home is nowhere at all. A longing to wander tears my heart when I hear trees rustling in the wind at evening. If one listens to them silently for a long time, this longing reveals its kernel, its meaning. It is not so much a matter of escaping from one's suffering, though it may seem to be so. It is a longing for home, for a memory of the mother, for new metaphors for life. It leads home. Every path leads homeward, every step is birth, every step is death, every grave is mother. So the tree rustles in the evening, when we stand uneasy before our own childish thoughts: Trees have long thoughts, long-breathing and restful, just as they have longer lives than ours. They are wiser than we are, as long as we do not listen to them. But when we have learned how to listen to trees, then the brevity and the quickness and the childlike hastiness of our thoughts achieve an incomparable joy. Whoever has learned how to listen to trees no longer wants to be a tree. He wants to be nothing except what he is. That is home. That is happiness.",Bäume. Betrachtungen und Gedichte
"That was the thing. You never got used to it, the idea of someone being gone. Just when you think it's reconciled, accepted, someone points it out to you, and it just hits you all over again, that shocking.",The Truth About Forever
"No matter how much suffering you went through, you never wanted to let go of those memories.",haruki murakami
Don't take life too seriously. Punch it in the face when it needs a good hit. Laugh at it.,Slammed
Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,The Light in the Heart
"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.",The Light in the Heart
"If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC",kurt vonnegut
"Dwell on the beauty of life. Watch the stars, and see yourself running with them.",Meditations
أحيانًا يساعدنا الآخرون بأن يكونوا فى حياتنا فحسب,أحمد خالد توفيق
"Don't you think it's better to be extremely happy for a short while, even if you lose it, than to be just okay for your whole life?",The Time Traveler's Wife
"It was not the feeling of completeness I so needed, but the feeling of not being empty.",Everything Is Illuminated
"People say that life is the thing, but I prefer reading.",Logan Pearsall Smith
"Don't be afraid of death; be afraid of an unlived life. You don't have to live forever, you just have to live.",Tuck Everlasting
"Don't part with your illusions. When they are gone you may still exist, but you have ceased to live.",Mark Twain
To say goodbye is to die a little.,The Long Goodbye
"Believe in Your HeartBelieve in your heart that you're meant to live a life full of passion, purpose, magic and miracles.",The Light in the Heart
Even death has a heart.,The Book Thief
Life shrinks or expands in proportion to one's courage.,Anais Nin
"Make improvements, not excuses. Seek respect, not attention.",The Light in the Heart
Life becomes easier and more beautiful when we can see the good in other people.,Roy T. Bennett
"Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.",Roy T. Bennett
"You couldn't relive your life, skipping the awful parts, without losing what made it worthwhile. You had to accept it as a whole--like the world, or the person you loved.",The Odds: A Love Story
"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.",The Light in the Heart
"We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness.","The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967"
"Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile.",The Last Song
I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.,Arthur C. Clarke
Biology gives you a brain. Life turns it into a mind.,Middlesex
"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",Steve Maraboli
"Pursue what catches your heart, not what catches your eyes.",The Light in the Heart
I've got nothing to do today but smile.,Simon and Garfunkel
That it will never come again is what makes life so sweet.,Emily Dickinson
Books say: She did this because. Life says: She did this. Books are where things are explained to you; life is where things aren't. I'm not surprised some people prefer books.,Flaubert's Parrot
"Follow your heart, listen to your inner voice, stop caring about what others think.",The Light in the Heart
"Suffering has been stronger than all other teaching, and has taught me to understand what your heart used to be. I have been bent and broken, but - I hope - into a better shape.",Great Expectations
"Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.",Roy T. Bennett
"If you ask me what I came to do in this world, I, an artist, will answer you: I am here to live out loud.",Émile Zola
"Acts of Kindness:A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.",The Light in the Heart
The past has no power over the present moment.,Eckhart Tolle
"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.",The Light in the Heart
You realize that our mistrust of the future makes it hard to give up the past.,Survivor
"Was it hard?"" I ask.Letting go?""Not as hard as holding on to something that wasn't real.",Lisa Schroeder
Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.,The Light in the Heart
"You will find that it is necessary to let things go; simply for the reason that they are heavy. So let them go, let go of them. I tie no weights to my ankles.",C. JoyBell C.
"A learning experience is one of those things that says, 'You know that thing you just did? Don't do that.",The Salmon of Doubt
Don't waste your time with explanations: people only hear what they want to hear.,Paulo Coelho
Life is a series of natural and spontaneous changes. Don't resist them; that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.,Lao Tzu
"No one knows for certain how much impact they have on the lives of other people. Oftentimes, we have no clue. Yet we push it just the same.",Thirteen Reasons Why
Maybe everyone can live beyond what they're capable of.,I Am the Messenger
Keep GoingYour hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.,The Light in the Heart
"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",The Light in the Heart
"No amount of regretting can change the past, and no amount of worrying can change the future.",The Light in the Heart
"Once you had put the pieces back together, even though you may look intact, you were never quite the same as you'd been before the fall.",Jodi Picoult
A good traveler has no fixed plans and is not intent on arriving.,Lao Tzu
"I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.",C. JoyBell C.
The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.,Man and Superman
"To be, or not to be: that is the question:Whether 'tis nobler in the mind to sufferThe slings and arrows of outrageous fortune,Or to take arms against a sea of troubles,And by opposing end them? To die: to sleep;No more; and by a sleep to say we endThe heart-ache and the thousand natural shocksThat flesh is heir to, 'tis a consummationDevoutly to be wish'd. To die, to sleep;To sleep: perchance to dream: ay, there's the rub;For in that sleep of death what dreams may comeWhen we have shuffled off this mortal coil,Must give us pause: there's the respectThat makes calamity of so long life;For who would bear the whips and scorns of time,The oppressor's wrong, the proud man's contumely,The pangs of despised love, the law's delay,The insolence of office and the spurnsThat patient merit of the unworthy takes,When he himself might his quietus makeWith a bare bodkin? who would fardels bear,To grunt and sweat under a weary life,But that the dread of something after death,The undiscover'd country from whose bournNo traveller returns, puzzles the willAnd makes us rather bear those ills we haveThan fly to others that we know not of?Thus conscience does make cowards of us all;And thus the native hue of resolutionIs sicklied o'er with the pale cast of thought,And enterprises of great pith and momentWith this regard their currents turn awry,And lose the name of action.--Soft you now!The fair Ophelia! Nymph, in thy orisonsBe all my sins remember'd!",Hamlet
"We do not grow absolutely, chronologically. We grow sometimes in one dimension, and not in another; unevenly. We grow partially. We are relative. We are mature in one realm, childish in another. The past, present, and future mingle and pull us backward, forward, or fix us in the present. We are made up of layers, cells, constellations.",Anais Nin
"You yourself, as much as anybody in the entire universe, deserve your love and affection",Sharon Salzberg
"We can never judge the lives of others, because each person knows only their own pain and renunciation. It's one thing to feel that you are on the right path, but it's another to think that yours is the only path.",Paulo Coelho
"It's all in the view. That's what I mean about forever, too. For any one of us our forever could end in an hour, or a hundred years from now. You never know for sure, so you'd better make every second count.",The Truth About Forever
Start each day with a positive thought and a grateful heart.,The Light in the Heart
"A purpose of human life, no matter who is controlling it, is to love whoever is around to be loved.",The Sirens of Titan
"You endure what is unbearable, and you bear it. That is all.",Clockwork Princess
Wisdom comes from experience. Experience is often a result of lack of wisdom.,Terry Pratchett
"Treat everyone with politeness and kindness, not because they are nice, but because you are.",The Light in the Heart
"In a time of destruction, create something.",Maxine Hong Kingston
"I meant,"" said Ipslore bitterly, ""what is there in this world that truly makes living worthwhile?""Death thought about it.CATS, he said eventually. CATS ARE NICE.",Sourcery
"The saddest people I've ever met in life are the ones who don't care deeply about anything at all. Passion and satisfaction go hand in hand, and without them, any happiness is only temporary, because there's nothing to make it last.",Dear John
"Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Don’t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live.",The Light in the Heart
"You cannot control the behavior of others, but you can always choose how you respond to it.",The Light in the Heart
"Don’t try to make life a mathematics problem with yourself in the center and everything coming out equal. When you’re good, bad things can still happen. And if you’re bad, you can still be lucky.",The Poisonwood Bible
"When you find your path, you must not be afraid. You need to have sufficient courage to make mistakes. Disappointment, defeat, and despair are the tools God uses to show us the way.",Brida
You can have it all. Just not all at once.,Oprah Winfrey
"No persons are more frequently wrong, than those who will not admit they are wrong.",François de La Rochefoucauld
Do not fear failure but rather fear not trying.,The Light in the Heart
"If people refuse to look at you in a new light and they can only see you for what you were, only see you for the mistakes you've made, if they don't realize that you are not your mistakes, then they have to go.","Life, the Truth, and Being Free"
One of the advantages of being disorganized is that one is always having surprising discoveries.,A.A. Milne
Be brave to stand for what you believe in even if you stand alone.,The Light in the Heart
"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.",The Light in the Heart
"Success is not how high you have climbed, but how you make a positive difference to the world.",The Light in the Heart
Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.,The Light in the Heart
